mode_of_transport,day,time,impacts,illumination_effect,campaign_name,frame,quarter_of_hour
2,1,11,15.2847639067,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 08:30:00
2,1,12,0.0000016068,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 08:45:00
2,1,13,0.0413216823,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 09:00:00
2,1,14,0.0045306054,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 09:15:00
2,1,15,19.9069244002,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 09:30:00
2,1,16,22.0314500628,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 09:45:00
2,1,17,18.1378798159,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 10:00:00
2,1,18,0.4142746129,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 10:15:00
2,1,20,0.3228407005,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 10:45:00
2,1,21,0.3371528872,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 11:00:00
2,1,22,1.6024441752,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 11:15:00
2,1,23,2.8217918149,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 11:30:00
2,1,24,0.8372584278,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 11:45:00
2,1,25,0.0018613258,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 12:00:00
2,1,26,15.5844030912,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 12:15:00
2,1,27,15.138006116,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 12:30:00
2,1,28,11.5588084075,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 12:45:00
2,1,29,6.5898510624,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 13:00:00
2,1,30,8.0718480258,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 13:15:00
2,1,31,0.2081380702,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 13:30:00
2,1,32,0.0319590215,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 13:45:00
2,1,34,0.7069158417,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 14:15:00
2,1,35,16.6903904053,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 14:30:00
2,1,36,0.0027756238,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 14:45:00
2,1,37,17.741919737,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 15:00:00
2,1,38,0.0140158152,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 15:15:00
2,1,39,6.3823441424,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 15:30:00
2,1,40,2.9139750053,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 15:45:00
2,1,41,28.5737802741,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 16:00:00
2,1,42,0.6774238465,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 16:15:00
2,1,43,0.054640377,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 16:30:00
2,1,44,8.9639427172,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 16:45:00
2,1,45,11.3583974491,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 17:00:00
2,1,46,5.1343790016,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 17:15:00
2,1,47,1.061923117,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 17:30:00
2,1,48,3.4786831332,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 17:45:00
2,1,49,1.1124398225,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 18:00:00
2,1,50,18.4299266593,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 18:15:00
2,1,51,6.1081615822,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 18:30:00
2,1,52,27.242302087,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 18:45:00
